current consumption (mA)
48.4708
48.3259
48.2564
48.2624
53.8071
51.5264
47.8342
47.7906
47.743
47.7453
47.819
47.769
47.7618
47.7642
55.2031
52.2621
47.8791
47.8879
47.7492
47.7989
47.757
47.7429
47.7413
47.7662
55.6907
53.2689
47.9079
47.8611
47.7324
47.7812
47.7681
47.793
47.7272
47.7549
56.0341
52.2187
47.9066
47.8595
47.7483
47.7994
47.7638
47.7599
47.7259
47.7381
47.7647
47.7616
47.7709
47.7329
47.7415
47.7381
47.7351
47.7382
47.7378
47.739
47.7569
48.1201
48.2271
48.2165
48.2359
48.2201
48.0911
47.7834
47.7479
47.7417
47.7316
47.7512
47.7448
47.7283
47.7574
47.7479
47.7395
47.7216
47.7647
47.7657
47.7496
47.7319
47.7483
47.7591
47.7635
47.7338
47.7408
47.7599
47.7469
47.7526
47.7258
47.7407
47.732
47.7873
47.7424
47.7578
47.7302
47.732
47.9086
47.9668
47.9819
47.9831
47.9433
47.9955
55.6195
51.6436
48.1467
48.1273
47.927
48.3332
55.9642
48.6493
47.7472
47.8028
47.7564
47.753
47.7379
47.7596
47.7365
48.4377
57.7707
49.005
47.8626
47.8066
47.7849
47.7769
47.7251
47.7452
47.7622
48.7008
57.4471
48.6279
47.9278
47.8712
47.8491
51.8208
59.0846
94.7454
134.802
141.577
107.951
85.9899
78.8472
69.4492
57.8671
53.6511
57.8891
61.6791
62.5433
62.8179
67.0934
47.3505
46.2762
46.2315
46.1885
46.1495
46.1629
46.1756
46.1268
48.94
60.141
46.7639
46.3179
46.2217
46.1755
46.1731
46.1842
46.1563
46.1469
49.4495
62.3022
50.2769
46.2356
46.0399
46.0579
46.0228
46.0395
46.0331
45.9999
46.0006
46.0151
46.0219
46.0145
45.9919
45.9875
46.0119
46.0147
46.0034
45.9771
46.0042
45.9868
46.0169
46.0072
45.9938
45.9894
46.0889
46.2214
46.2388
46.1948
46.2173
46.2175
46.2241
46.2327
46.2117
48.7171
54.1431
47.0584
46.9517
46.8841
50.3741
53.785
46.5147
45.9777
45.9785
45.9779
45.943
45.9553
45.9308
45.9386
49.6221
54.1875
46.3303
46.0823
45.9467
45.9754
45.9532
45.9252
45.9423
45.9406
49.9956
55.1705
46.5863
46.1153
45.9554
45.9966
45.9388
45.9274
45.941
45.9569
50.3784
52.4828
46.2053
46.0701
46.0523
46.0462
46.1068
52.7852
47.1955
46.6288
50.3973
47.827
45.9772
45.9805
45.9766
45.9597
45.9492
45.926
45.9453
45.9513
51.1688
52.8986
46.1638
46.0595
45.9623
45.9949
45.9348
45.9146
45.9035
45.931
